Name, Description,Headquarter,Industries,Website,LinkedIn
Flat6Labs,Flat6Labs is Sawari Ventures’ dedicated startup accelerator for seed stage investments.,"Gîza, Al Jizah, Egypt","Apps, Finance, Software, Training, Venture Capital",www.flat6labs.com,http://www.linkedin.com/company/flat6labs
Spring Accelerator ,A pioneering accelerator that supports businesses and services whose products & service can transform the lives of adolescent girls,"Nairobi, Nairobi Area, Kenya",,www.springaccelerator.org/,https://www.linkedin.com/company/spring-accelerator
88mph,88mph invests in early-stage web and mobile companies in the African market.,"Nairobi, Nairobi Area, Kenya","Financial Services, Mobile, Web Browsers",www.88mph.ac,https://in.linkedin.com/company/88mph-ac
AUC Venture Lab,AUC Venture Lab is the American University in Cairo’s startup accelerator/incubator.,"Cairo, Al Qahirah, Egypt",American University in Cairo,schools.aucegypt.edu/business/aucvlab/Pages/def...,https://www.linkedin.com/in/auc-venture-lab-650168101/
Startupbootcamp Cape Town,"Startupbootcamp Cape Town is a leading accelerator focused on scouting for startups in blockchain, connected devices.","Cape Town, NA - South Africa, South Africa","Blockchain, Cryptocurrency, Financial Services, Information Technology, Internet",None,None
1864 Accelerator,The 1864 Accelerator constitutes the first local financial technology focused (FinTech) startup accelerator program.,"Gîza, Al Jizah, Egypt",FinTech,www.1864accelerator.com/,None
Techqala,Techqala is nine day program to start-ups to develop their mentorship.,"Cape Town, NA - South Africa, South Africa",Active,www.techqala.com/,https://www.linkedin.com/in/carriebedingfield
Seed Engine,Seed Engine aims to coach and mentor entrepreneurs into becoming leaders and efficiently and successfully operate their ventures.,"Johannesburg, NA - South Africa, South Africa","Finance, Social Entrepreneurship, Venture Capital",www.seedengine.co.za,http://www.linkedin.com/company/seed-engine
Velociti ZW,An accelerator that helps startups attain escape velocity,"Bulawayo, NA - Zimbabwe, Zimbabwe","Advice, Banking, Incubators",www.velociti.co.zw/,https://www.linkedin.com/company/velociti-accelerator
Aurik Business Accelerator,"A growth business accelerator with over 1,672 SMB's across all sectors of the Sub-Saharan African economy","Johannesburg, NA - South Africa, South Africa",,www.aurik.biz/,https://www.linkedin.com/company/aurik-investment-holdings-pty-limited
Antler,Antler is a startup generator & early-stage VC that enables the world’s most determined people to build global businesses from the ground up,"Singapore, Central Region, Singapore","Financial Services, Venture Capital",antler.co/,https://www.linkedin.com/company/antleri/
Brinc,Brinc is a venture capital and accelerator firm that empowers game changers to help solve some of the world's biggest challenges.,"Central, Hong Kong Island, Hong Kong","Clean Energy, E-Commerce, Food and Beverage, Home Health Care, Manufacturing, Nutrition, Robotics, Software, Technical Support, Transportation",www.brinc.io,https://www.linkedin.com/company/brinc-io
SparkLabs Accelerator,SparkLabs Accelerator is a Korean business accelerator providing investment solutions and mentoring for startups.,"Seoul, Seoul-t'ukpyolsi, South Korea","Automotive, Enterprise Software, Incubators",www.sparklabs.co.kr,https://www.linkedin.com/company/3297677/
Zeroth.AI,Zeroth is an accelerator for early-stage start-ups in artificial intelligence & machine learning companies in Asia.,"Hong Kong, Hong Kong Island, Hong Kong","Artificial Intelligence, Intelligent Systems, Machine Learning, Software, Venture Capital",www.zeroth.ai/,https://www.linkedin.com/company/10841747
Primer,Startup Accelerator in Korea from Jan 2010,"Seoul, Seoul-t'ukpyolsi, South Korea","Facilities Support Services, Social Entrepreneurship, Venture Capital",None,https://www.linkedin.com/company/primerclub
Oasis500,"Oasis500 is the leading seed investment company and business accelerator in the Tech and Creative Industry spaces based in Amman, Jordan.","Amman, Amman, Jordan","Incubators, Information and Communications Technology (ICT)",www.oasis500.com,http://www.linkedin.com/company/oasis500
Chinaccelerator,"Chinaccelerator is a Shanghai-based startup accelerator that provides seed funding, mentorship, and legal assistance to software companies.","Shanghai, Shanghai, China","E-Commerce, Internet, Mobile, Software",chinaccelerator.com,http://www.linkedin.com/company/chinaccelerator
HAX,HAX is a full stack accelerator for hardware startups.,"Shenzhen, Guangdong, China","Hardware, Manufacturing, Venture Capital",www.hax.co,https://www.linkedin.com/company/hax
Tribe Accelerator,The First Singapore Government-Supported Blockchain Accelerator,"Singapore, Central Region, Singapore","Automotive, Blockchain, Information Technology, InsurTech, Logistics, Supply Chain Management, Sustainability",None,https://www.linkedin.com/company/tribe-accelerator
Neoply,NEOPLY is a startup accelerator based in South Korea.,"Bundangdong, Kyonggi-do, South Korea","Angel Investment, Blockchain, Consulting, Finance, Incubators, Information Technology, Internet, Venture Capital",None,None
AppWorks,"Based in Taiwan, AppWorks is the largest startup accelerator in Greater Southeast Asia and one of the region's most active early-stage VCs.","Taipei, T'ai-pei, Taiwan","Angel Investment, Incubators, Venture Capital",None,http://www.linkedin.com/company/appworks-ventures
CoWrks Foundry,"The CoWrks Foundry is a tech startup accelerator housed within CoWrks, that is focused on empowering startups to build resilient businesses.","Bangalore, Karnataka, India","Communities, Information Technology",None,https://www.linkedin.com/company/the-cowrks-foundry/
1337 Ventures,1337 is a technology accelerator and early stage venture capital focused on doing pre-seed and seed stage investments in Malaysia.,"Kuala Lumpur, Kuala Lumpur, Malaysia","Banking, Financial Services, Venture Capital",None,https://www.linkedin.com/company/1337-ventures-sdn-bhd-?trk=company_logo
India Accelerator ,India Accelerator runs mentorship-driven acceleration programs for start ups.,"Gurgaon, Haryana, India","Communities, Coworking, Incubators",None,https://www.linkedin.com/company/india-accelerator/
SuperCharger,"SuperCharger is the FinTech Accelerator in Asia, dedicated to both early-stage startups and scale-up FinTech companies aiming for growth.","Wan Chai, Hong Kong Island, Hong Kong","Finance, Financial Services, FinTech, Venture Capital",None,https://www.linkedin.com/company/supercharger-ltd?trk=top_nav_home
Z Nation Lab,Seed Fund bridging India-US gap through strong network of experts,"Mumbai, Maharashtra, India","Angel Investment, Venture Capital",None,https://www.linkedin.com/company/z-nation-lab/
NFQ Asia,NFQ Asia is a Vietnam-based business accelerator.,"Ho Chi Minh City, NA - Vietnam, Vietnam","Business Development, Consulting, Marketing, Product Design, Software, Software Engineering",None,https://www.linkedin.com/in/nfq-asia-017367172/
Axilor Ventures,Axilor Ventures is an early stage seed fund and startup accelerator founded by Infosys co-founders Kris Gopalakrishnan and SD Shibulal,"Bangalore, Karnataka, India","Angel Investment, Venture Capital",None,https://www.linkedin.com/company/axilor-ventures
LaunchVic,"LaunchVic supports a recognized, thriving startup culture, and entrepreneurs to develop and grow businesses.","Melbourne, Victoria, Australia","Finance, Financial Services, FinTech",launchvic.org/,https://www.linkedin.com/company-beta/7796422/
BlueChilli,"BlueChilli helps entrepreneurs to solve society's greatest challenges. We propel their technology, tender, team and traction.","Sydney, New South Wales, Australia","Advice, Business Development, Financial Services, Software, Technical Support, Venture Capital",www.bluechilli.com/,https://www.linkedin.com/company/blue-chilli-technology/
H2 Ventures,"H2 Ventures is an early stage Venture Capital firm investing in Fintech, Data & A.I.","Sydney, New South Wales, Australia","Artificial Intelligence, Big Data, Financial Services, FinTech, Venture Capital",h2.vc,https://www.linkedin.com/company/h2-ventures
Incubate,Incubate is Australia's largest award winning student accelerator program at The University of Sydney,"Sydney, New South Wales, Australia","Association, Education, Higher Education, Universities",None,None
muru-D,Accelerator in Australia and Singapore for globally ambitious tech companies,"Sydney, New South Wales, Australia","AgTech, Association, Banking, Communities, EdTech, Finance, Venture Capital",None,http://www.linkedin.com/company/muru-d
Innovyz,Innovyz is a 13-week accelerator program.,"Adelaide, South Australia, Australia","Angel Investment, Financial Services, Venture Capital",None,http://www.linkedin.com/company/2551541
Startmate,"At Startmate, we help exceptional founders build iconic companies.","Melbourne, Victoria, Australia","Education, Finance, Internet, Software",www.startmate.com.au,https://www.linkedin.com/company/startmate
QUT Creative Enterprise Australia,"CEA helps start, grow, scale and connect creative companies as Australia’s leading creative accelerator and investment fund.","Kelvin Grove, Queensland, Australia","Advertising, Social Network, Video Games, Virtual Reality, Wearables",www.qutcea.com/,https://www.linkedin.com/company/5155639/
Sparklabs Cultiv8,SparkLabs Cultiv8 is a unique world class accelerator and research facility.,"Orange, New South Wales, Australia","Asia-Pacific (APAC), Australasia",www.sparklabscultiv8.com/,https://www.linkedin.com/company/sparklabs-cultiv8/
AngelCube,AngelCube is a Melbourne-based accelerator program for tech startups.,"Richmond, Victoria, Australia","Angel Investment, Financial Services, Venture Capital",angelcube.com,https://www.linkedin.com/company/angelcube/
CyRise,"CyRise is an investor, supporter and champion of cyber security startups in the Asia Pacific","Melbourne, Victoria, Australia","Cloud Security, Cyber Security, Identity Management, Network Security, Privacy",www.cyrise.co/,https://www.linkedin.com/company/cyrise/?originalSubdomain=au
SproutX,The home of Australian AgTech,"Melbourne, Victoria, Australia",Financial Services,sproutx.com.au/,https://www.linkedin.com/company/sproutx/
RCL Accelerator,"RCL Accelerator is a startup accelerator powered by muru-D based in Brisbane, Australia","Brisbane, Queensland, Australia","Asia-Pacific (APAC), Australasia",accelerator.rivercitylabs.net/,None
Entrepreneur First,Entrepreneur First invests in technologists to help them build a deep tech company from scratch.,"London, England, United Kingdom","Communities, Information Technology, Venture Capital",www.joinef.com,https://www.linkedin.com/company/2340783
Startup Wise Guys,Startup Wise Guys is the leading B2B startup accelerator in Europe.,"Tallinn, Harjumaa, Estonia","B2B, Cyber Security, Enterprise Software, FinTech, SaaS, Software",www.startupwiseguys.com,https://www.linkedin.com/company/startup-wise-guys
Startupbootcamp,Startupbootcamp is a global network of industry-focused startup accelerators that provides investment and mentorship services.,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",www.startupbootcamp.org,https://www.linkedin.com/company/startupbootcamp
Accel Springer Plug and Play Accelerator,Axel Springer Plug and Play is a Berlin-based pre-seed startup accelerator.,"Berlin, Berlin, Germany","Digital Media, Finance, Information Technology, Venture Capital",www.axelspringerplugandplay.com,https://www.linkedin.com/company/5046044
Buildit Accelerator,"Buildit, Accelerator of Things, for startups in hardware & IoT","Riga, Riga, Latvia","Consulting, Hardware, Incubators",None,http://www.linkedin.com/company/buildit
European Pioneers,EuropeanPioneers is a startup accelerator that boosts digital SMEs and web entrepreneurs in the European media and content sector.,"Berlin, Berlin, Germany","Internet, Venture Capital",europeanpioneers.eu/en/,None
Zero Gravity,We are a B2B startup acceleration program that helps founders and teams to focus on what really matters: Make Meaning to Make Money.,"Lisbon, Lisboa, Portugal","Banking, Communities, Education, Insurance, Internet",None,https://www.linkedin.com/company/18298843/
World Startup Factory,World Startup Factory (WSF) offers acceleration programs to startups with impact driven solutions and convincing business models.,"The Hague, Zuid-Holland, The Netherlands","Business Development, Social Entrepreneurship",worldstartupfactory.com/,https://www.linkedin.com/company/world-startup-factory
Huckletree Alpha Programme,Huckletree Alpha is a 12-week long intensive accelerator programme based in London & Dublin for startups at pre-seed stage.,"London, England, United Kingdom","B2B, B2C, Beauty, Communities, Lifestyle, Retail Technology, Venture Capital",None,None
Founders Factory,Founders Factory is the world's best partner for startup founders.,"London, England, United Kingdom","Beauty, Digital Media, FinTech, Information Technology",foundersfactory.com/,https://www.linkedin.com/company/foundersfactory
Rockstart Accelerator,"Rockstart Accelerator supports startups in becoming scalable by providing them with access to the market, capital, expertise, and community.","Amsterdam, Noord-Holland, The Netherlands","Automotive, Business Intelligence, Clean Energy, Consulting, Infrastructure, Internet, Mobile, Mobile Apps, Web Apps",None,https://www.linkedin.com/company/rockstart
Katapult Accelerator,The Katapult Accelerator is an impact-tech accelerator program.,"Oslo, Oslo, Norway","Big Data, Education, Internet of Things, Nutrition, Software",None,https://www.linkedin.com/company-beta/17969162/?pathWildcard=17969162
The Startup Training,The largest online pre-accelerator in Italy: we supported 400+ startups in just 3 years,"Milan, Lombardia, Italy","Education, Incubators",None,https://www.linkedin.com/school/the-startup-training
Alpha Programme London,Huckletree Alpha is a 12-week long intensive accelerator programme based in London & Dublin for startups at pre-seed stage.,"London, England, United Kingdom","B2B, B2C, Beauty, Communities, Lifestyle, Retail Technology, Venture Capital",None,None
Hackquarters,Hackquarters accelerated 150+ startups and helped 40+ corporates to innovate with startup collaboration,"Istanbul, Istanbul, Turkey","Communities, Corporate Training, Information Technology, Innovation Management, Internet, Social Impact, Venture Capital",None,https://www.linkedin.com/company/hackquarters/
Hatch Blue,"Hatch Blue is an aquaculture accelerator supporting start-ups in the fields of aquaculture feed, health, genetics, tech and production.","Cork, Cork, Ireland",Management Consulting,None,https://www.linkedin.com/company/hatch-aquaculture-accelerator/
Zinc,Zinc.VC is a London-based business builder that runs 9 month mission-led programmes to build scalable commercial impact-led businesses.,"London, England, United Kingdom","Finance, Financial Services, Incubators",None,https://www.linkedin.com/company/zincvc/
Y Combinator,Y Combinator is a startup accelerator that invests in a large number of startups twice a year.,"Mountain View, California, United States","Consulting, Finance, Venture Capital",www.ycombinator.com,https://www.linkedin.com/company/y-combinator/
Techstars,Techstars is the worldwide network that helps entrepreneurs succeed.,"Boulder, Colorado, United States","Finance, Financial Services, Venture Capital",None,https://www.linkedin.com/company/techstars/
StartUp Health,StartUp Health is investing in a global army of Health Transformers to improve the health & wellbeing of everyone in the world.,"New York, New York, United States","Biotechnology, Electronic Health Record (EHR), Fitness, Health Care, Health Diagnostics, Personal Health, Wellness",www.startuphealth.com,https://www.linkedin.com/company/startuphealth
500 Startups,500 Startups is a global venture capital firm with a network of startup programs headquartered in Silicon Valley.,"Mountain View, California, United States","Finance, Financial Services, Venture Capital",500.co,http://www.linkedin.com/company/500-startups
Alchemist Accelerator,The Alchemist Accelerator is a venture-backed initiative focused on accelerating startups whose revenue comes from enterprises.,"San Francisco, California, United States","Education, Enterprise Software, SaaS",www.alchemistaccelerator.com,https://www.linkedin.com/company/alchemist-accelerator
Women’s Startup Lab,"Women’s Startup Lab is a founder accelerator program, empowering women to be strong leaders.","Menlo Park, California, United States","Incubators, Social Entrepreneurship, Women's",None,https://www.linkedin.com/company/women's-startup-lab
Dreamit Ventures,"Dreamit is a venture fund and growth-focused accelerator for Urbantech, Securetech, and Healthtech startups","New York, New York, United States","Construction, Cyber Security, Health Diagnostics, Medical, Network Security, Security, Transportation",www.dreamit.com,http://www.linkedin.com/company/dreamit-ventures
Google Launchpad Accelerator,Launchpad Accelerator helps startups from around the world in developing the world’s greatest apps.,"Mountain View, California, United States","Application Performance Management, Banking, Communities, Developer Platform, Insurance, Mobile Apps",None,https://www.linkedin.com/showcase/launchpad-program/
The Company Lab,The Company Lab is a nonprofit startup accelerator that supports entrepreneurial growth in southeast Tennessee.,"Chattanooga, Tennessee, United States","3D Printing, Association, Consumer Electronics, Consumer Goods, Data Visualization, Distillery, E-Commerce Platforms, eSports, Food and Beverage, Food Processing, Geospatial, Internet of Things, Organic Food, Outdoors, Recreation, Retail, Retail Technology, Snack Food, Sporting Goods",None,http://www.linkedin.com/company/the-company-lab
100K Ventures,"100K Ventures is a Flint, Michigan accelerator founded by leaders in business, sports and entertainment.","Flint, Michigan, United States","Angel Investment, Incubators, Venture Capital",None,None
VertueLab,VertueLab is a climate impact accelerator.,"Portland, Oregon, United States","CleanTech, Non Profit, Sustainability",None,https://www.linkedin.com/company/vertuelab
Expa,Expa is a startup studio designed for entrepreneurs to create and launch new companies.,"San Francisco, California, United States","Finance, Internet, Mobile",None,http://www.linkedin.com/company/expa
Union Kitchen,Food Accelerator,"Washington, District of Columbia, United States","Finance, Food and Beverage",None,https://www.linkedin.com/company/union-kitchen-dc/
MassChallenge,"MassChallenge is a global non-profit startup accelerator and competition with a focus on high-impact, early-stage entrepreneurs.","Boston, Massachusetts, United States","Finance, Financial Services, Social Entrepreneurship, Social Impact",masschallenge.org/,https://www.linkedin.com/company/masschallenge
Village Capital,Village Capital builds bridges for entrepreneurs who are creating an inclusive and sustainable world.,"Washington, District of Columbia, United States","Agriculture, EdTech, Education, Energy, Finance, Financial Services, FinTech, Health Care",www.vilcap.com,http://www.linkedin.com/company/village-capital
Plug and Play,"Plug and Play is the ultimate innovation platform, bringing together the best startups and the world’s largest corporations.","Sunnyvale, California, United States","Business Development, Venture Capital",None,https://www.linkedin.com/company/plug-and-play-tech-center
Cogo Labs,Cogo Labs is the technology-driven venture accelerator behind some of the Boston area’s fastest-growing web companies,"Cambridge, Massachusetts, United States","Big Data, Internet, Marketing, Web Browsers",None,http://www.linkedin.com/company/cogo-labs
Clean Energy Trust,"Clean Energy Trust supports early-stage startups working on solutions for clean energy, decarbonization, and environmental sustainability.","Chicago, Illinois, United States","Advanced Materials, AgTech, Clean Energy, CleanTech, Energy, Energy Efficiency, Renewable Energy, Transportation",None,http://www.linkedin.com/company/clean-energy-trust
Startup UCLA Accelerator,"Startup UCLA Accelerator provides a workspace, guidance, legal services, and mentors to early-stage companies.","Los Angeles, California, United States","Consulting, Finance, Financial Services, Internet, Internet of Things, Legal, Local",None,None
Smarter in the City,Smarter in the City is a high-tech accelerator in Roxbury.,"West Roxbury, Massachusetts, United States","Communities, Education, Finance, Non Profit, Social Entrepreneurship, Social Impact",None,http://www.linkedin.com/company/smarter-in-the-city
MouseBelt,The only full-service blockchain accelerator in the world,"San Francisco, California, United States","Blockchain, Digital Marketing, Finance, Incubators, Marketing, Venture Capital",None,https://linkedin.com/company/mouse-belt
Lair East Labs,LAIR EAST LABS is a startup accelerator for founders interested in launching businesses in the US with access to the Asian Market.,"New York, New York, United States","Financial Services, Internet, Venture Capital",None,https://www.linkedin.com/company/lair-east-labs/
Creative Destruction Lab,"Creative Destruction Lab is a seed-stage program for massively scalable, science- and technology-based ventures.","Toronto, Ontario, Canada","Advice, Angel Investment, Finance, Quantum Computing, Venture Capital",None,https://www.linkedin.com/company/creative-destruction-lab
NEXT Canada,NEXT Canada is a national non-profit charity with a focus on increasing national prosperity through innovation and entrepreneurship.,"Toronto, Ontario, Canada","Education, FinTech, Hardware, Health Care, Human Resources, Information Technology, Internet of Things, Mobile, Software",www.nextcanada.com,https://www.linkedin.com/company/next-canada/
TandemLaunch,Seed investor & incubator for consumer electronics innovation.,"Montréal, Quebec, Canada","Automotive, Consumer Electronics, Incubators",www.tandemlaunch.com,http://www.linkedin.com/company/899167
Victory Square,"Victory Square creates, funds, and executes on ideas in sports, health, and entertainment.","Vancouver, British Columbia, Canada","Business Development, Digital Entertainment, Fantasy Sports, Finance, Financial Services, Sports",None,https://www.linkedin.com/company-beta/6391489/
FounderFuel,FounderFuel is a mentor-driven venture accelerator that helps new startups make progress on the venture path.,"Montréal, Quebec, Canada","Finance, Internet, SaaS, Venture Capital",founderfuel.com,http://www.linkedin.com/company/founderfuel
Accelerator Centre,Accelerator Centre is a network of facilities dedicated to developing and commercializing technology startups.,"Waterloo, Ontario, Canada","Hardware, Information Technology, Software",www.acceleratorcentre.com,http://www.linkedin.com/company/accelerator-centre
WOW Aceleradora,"WOW connects startups and investors through an accelerated program that combines capital, networking, mentoring and training.","Porto Alegre, Rio Grande do Sul, Brazil","Angel Investment, Venture Capital",wow.ac,http://www.linkedin.com/company/wow-aceleradora
Startup-Up Chile,Start-Up is a public startup accelerator created by the Chilean Government for global entrepreneurs to bootstrap their startups.,"Santiago, Region Metropolitana, Chile","Innovation Management, Market Research, Social Entrepreneurship",startupchile.org,https://www.linkedin.com/company/start-up-chile
Startup Braga,Startup Braga is an innovation hub designed to assist high potential entrepreneurial projects for international markets.,"Braga, Braga, Portugal",Association,None,https://www.linkedin.com/company/startup-braga
Ace Startups ,ACE is a Brazilian Seed Stage VC and former 3-time Best Latin American Accelerator,"São Paulo, Sao Paulo, Brazil","Angel Investment, Venture Capital",acestartups.com.br,https://www.linkedin.com/company/2754762/
Startup Farm,Startup Farm is an accelerator THAT focuseS on Latin American startups.,"São Paulo, Sao Paulo, Brazil","EdTech, Education, Events, FinTech, Health Care, Information Technology, Retail Technology, Venture Capital, Wealth Management, Wellness",www.startup.farm/,http://www.linkedin.com/company/startup-farm/
APX,APX is an industry-agnostic startup investor and accelerator in Berlin backed by the Axel Springer and Porsche.,"Berlin, Berlin, Germany","Finance, Financial Services, Venture Capital",None,https://www.linkedin.com/company/joinapx
GLOCAL,The first AgriFoodTech Startup Accelerator in Latinamerica,"Rosario, Santa Fe, Argentina","Agriculture, AgTech, Aquaculture, Biotechnology, Farmers Market, Farming, Food Processing, Internet of Things, Supply Chain Management, Trading Platform",www.glocalmanagers.com,https://ar.linkedin.com/company/glocal-managers
21212,"Founded in 2011, 21212 is a startup accelerator and seed fund for digital businesses in Brazil.","Rio De Janeiro, Rio de Janeiro, Brazil","Education, Information Technology, Online Portals",21212.com,http://www.linkedin.com/company/21212-digital-accelerator
Cotidiano,Cotidiano invests in digital companies that positively impacts people's everyday life.,"Brasilândia, Distrito Federal, Brazil","Advice, Consulting, Management Consulting",cotidiano.com.br,https://www.linkedin.com/company/cotidiano
Papaya Ventures,Papaya Ventures is the first multi-thematic startup acceleration program based on design-thinking and user-experience mentorship.,"Rio De Janeiro, Rio de Janeiro, Brazil","Incubators, Mobile, Venture Capital",papayaventures.com,http://www.linkedin.com/company/2674854
Imagine Lab,Imagine Lab is a Microsoft-backed incubator and accelerator.,"Santiago, Region Metropolitana, Chile","Business Development, Finance, Internet, Venture Capital",imaginelab.cl,https://www.linkedin.com/company/imagine-business-lab
Embarca,Embarca is an accelerator made to co-invest from private/public capitals in early stage startups located in Mendoza - Argentina.,"Mendoza, Mendoza, Argentina","Agriculture, Blockchain, Energy, Finance, Health Care",www.embarca.tech,https://www.linkedin.com/company/11376549/
PortXL,PortXL is the World's first port acceleration program for disruptive port innovations to help change the way maritime is shaped today.,"Rotterdam, Zuid-Holland, The Netherlands",Finance,None,https://www.linkedin.com/company/10266169
Barcelona Ventures,Cross-border Accelerator & Investment Club - Accelerate your company’s growth in the US and meet Silicon Valley angels and VCs.,"Barcelona, Catalonia, Spain","Consulting, Information Technology, Legal, Venture Capital",None,http://www.linkedin.com/company/barcelona-ventures
