company,models
Aprilia,"['Caponord 1200 ABS', 'Caponord 1200 ABS Travel', 'Dorsoduro 1200 ABS', 'Mana 850 GT ABS', 'RSV4 Factory APRC ABS', 'RSV4 R APRC ABS', 'SR 150', 'SRV 850 ABS', 'Tuono V4 APRC']"
BMW,"['F650', 'K 1300', 'K 1600', 'R1200', 'R Nine T', 'S 1000 R', 'S1000 RR']"
Bajaj,"['4S Champion', 'Avenger', 'Avenger Cruise 150', 'Avenger Street 150', 'Avenger Street 220', 'Boxer', 'Bravo', 'CT 100', 'Caliber', 'Chetak', 'Club', 'Discover 100', 'Discover 100 M', 'Discover 100 T', 'Discover 125', 'Discover 125 DTS i', 'Discover 125 ST', 'Discover 125 T', 'Discover 125M', 'Discover 135', 'Discover 150', 'Discover 150 F', 'Discover 150 S', 'Dominar 400', 'Eliminator', 'Krystal', 'Legend', 'M80', 'Platina 100', 'Platina 125', 'Pulsar 135 LS', 'Pulsar 150', 'Pulsar 150 AS', 'Pulsar 150 DTS i', 'Pulsar 180', 'Pulsar 180 DTS  i', 'Pulsar 200 AS', 'Pulsar 200 DTS i', 'Pulsar 200 NS', 'Pulsar 200 NS', 'Pulsar 200 RS', 'Pulsar 220 F', 'Saffire', 'Sunny', 'Super', 'Vikrant V15', 'Wave', 'Wind 125', 'XCD 125', 'XCD 135']"
Benelli,"['TNT 25', 'TNT 300', 'TNT 600GT', 'TNT 600i', 'TNT899', 'TNT 1130']"
Ducati,"['848 EVO', '899 Panigale', '1199 Panigale', 'Diavel', 'Hypermotard', 'Monster', 'Monster 795', 'Monster 796', 'Multistrada', 'Street fighter']"
Harley Davidson,"['Breakout', 'CVO Limited', 'Fat Bob', 'Fat Boy', 'Fat Boy Special', 'Heritage Softail Classic', 'Iron 883', 'Iron 883', 'Nightster', 'Roadster', 'Sportster Forty Eight', 'Sportster Seventy Two', 'Street 750', 'Street Bob', 'Street Bob', 'Street Glide', 'Street Glide Special', 'Superlow', 'V Rod']"
Hero,"['Achiever', 'Ambition', 'CBZ Star', 'CBZ Xtreme', 'CD 100 SS', 'CD Dawn', 'CD Deluxe', 'Cruz', 'Duet', 'E Sprint', 'EZ', 'Glamour', 'Glamour FI', 'HF Dawn', 'HF Deluxe', 'HF Deluxe Eco', 'HX 250R', 'Hunk', 'Ignitor', 'Impulse', 'Karizma', 'Karizma ZMR', 'Maestro', 'Maxi', 'Optima', 'Optima Plus', 'Passion PRO TR', 'Passion Plus', 'Passion Pro', 'Passion X Pro', 'Photon', 'Pleasure', 'Puch', 'Splendor NXG', 'Splendor Plus', 'Splendor Pro', 'Splendor Pro Classic', 'Splendor iSmart', 'Street 100', 'Super Splendor', 'Wave Dx', 'Winner', 'Zion', 'Zion']"
Honda,"['Activa', 'Activa 3G', 'Activa 125', 'Activa i', 'Aviator', 'CB 400', 'CB 1000R', 'CBF Stunner', 'CB Hornet', 'CBR 150R', 'CBR 250R', 'CBR 400RR', 'CBR 600F2', 'CBR 600RR', 'CBR 900RR', 'CBR 954RR', 'CBR Fireblade', 'CB Shine', 'CB Trigger', 'CB Twister', 'CB Unicorn', 'CB Unicorn 160', 'CB Unicorn Dazzler', 'CBX', 'CR', 'CRM', 'Dio', 'Dream Neo', 'Dream Yuga', 'Eterno', 'Gold Wind GL 1800', 'Honda CD 110 Dream', 'Honda VFR', 'Livo', 'NSR', 'Navi', 'S65', 'Super Magna', 'VFR 1200F', 'VT 1300CX', 'VTR 1000', 'Valkyrie', 'XL']"
Hyosung,"['Aquila GV250', 'Aquila pro 650', 'GT 250 R', 'GT250R', 'GT 650 R', 'GT 650N', 'GT650R', 'ST7']"
Indian,"['Chief Classic', 'Chief Dark Horse', 'Chief Vintage', 'Chieftain', 'Road master', 'Scout']"
KTM,"['390 Duke ABS', 'Duke 200', 'Duke 250', 'Duke 390', 'RC 200', 'RC 390']"
Kawasaki,"['ER 6n', 'Ninja 300', 'Ninja 650', 'Ninja 1000', 'Ninja H2', 'Ninja ZX 10R']"
Kinetic Motors,"['Blaze', 'Kinetic Honda', 'Luna', 'Nova', 'Zing']"
LML ( Piaggio),"['Adreno', 'Freedom DX', 'Freedom LS', 'Star Euro', 'Vespa', 'Vespa NV SPL', 'Vespa VX']"
Lambretta,['Lambretta 150']
Mahindra,"['Centuro', 'Duro', 'Flyte', 'Gusto', 'Kine', 'Mojo', 'Pantero', 'Rodeo']"
Moto Guzzi,"['Bellagio', 'California 1400', 'Griso SE', 'Sports 8V']"
Royal Enfield,"['Bullet 350', 'Bullet 350 Twinspark', 'Bullet 500', 'Bullet Electra', 'Bullet Electra Twinspark', 'Classic 350', 'Classic 500', 'Classic Chrome', 'Classic Desert Storm', 'Classic Squadron Blue', 'Continental GT', 'Continental GT (Cafe Racer)', 'Desert Storm', 'Himalayan', 'Thunderbird 350', 'Thunderbird 500']"
Suzuki,"['Access', 'Access 125 Disc', 'Bandit', 'Fiero', 'GS 150 R', 'GS150R', 'GSX R1000', 'GSX R1000', 'GSX S 1000', 'GSX S1000F', 'Gixxer', 'Gixxer SF', 'Hayabusa', 'Hayate', 'Heat', 'Intruder M800', 'Intruder M1800R', 'Lets', 'M 800', 'M1800R', 'Samurai', 'SlingShot Plus', 'Swish', 'Swish 125 facelift', 'V Strom 1000', 'Zeus']"
TVS,"['Apache', 'Apache RTR 160', 'Apache RTR 160 4V', 'Apache RTR 180', 'Apache RTR 180 ABS', 'Apache RTR 200', 'Centra', 'Champ', 'Excel', 'Fiero', 'Fiero FX', 'Flame', 'Heavy Duty Super XL', 'Jive', 'Jupiter', 'MAX4R', 'Max DLX', 'Ntorq 125', 'Phoenix 125', 'Samurai', 'Scooty ES', 'Scooty Pep DLX', 'Scooty Pep Plus', 'Scooty Streak', 'Scooty Teenz', 'Scooty Zest 110', 'Spectra', 'Star City', 'Star City Plus', 'Star Deluxe', 'Star Sport', 'Streak', 'Victor', 'Victor Edge', 'Victor GLX', 'Victor GX', 'Wego']"
Triumph,"['Bonneville', 'Bonneville T 100', 'Daytona 675 ABS', 'Daytona 675 R', 'Rocket III Roadster', 'Speed Triple ABS', 'Street Triple ABS', 'Street Twin', 'Thruxton ', 'Thunderbird LT', 'Thunderbird storm', 'Tiger 800', 'Tiger 800 XC', 'Tiger 800 XR', 'Tiger 800 Xcx', 'Tiger 800 Xrx', 'Tiger Explorer']"
UM,"['Renegade Classic', 'Renegade Commando', 'Renegade Mojave', 'Renegade Sports S']"
YO Bikes,"['Yo Smart', 'Yo Speed']"
Yamaha,"['Alba', 'Alpha', 'Crux', 'Crux R', 'Crux S', 'Enticer', 'Enticer DLX', 'FZ1', 'FZ 6', 'FZ16', 'FZ 25', 'FZR 400', 'FZR 600', 'FZ S', 'Fascino', 'Fazer', 'Fazer DLX', 'Fazer FIV 2', 'GTS 1000', 'Gladiator', 'Libero', 'Libero LX', 'Libero LX G 5', 'MT01', 'PW50', 'PW80', 'Pearl', 'R1', 'R6', 'RD', 'RX 100', 'RX 135', 'RX G', 'RX Z', 'RZ 250', 'RZ 350', 'Raptor 360', 'Ray', 'Ray Z', 'SS 125', 'SZ', 'SZ R', 'SZ RR', 'SZ RR', 'SZ RR V 2', 'SZ S', 'SZ S', 'SZ X', 'Saluto', 'Star Warrior', 'TZR 250', 'V Star', 'Vmax', 'XJ 750 Seca', 'XS 2', 'YBR 110', 'YBR 125', 'YBX', 'YD', 'YZ 250', 'YZF R1', 'YZF R15']"
Yezdi,"['Classic', 'Road King']"
